text,language
Niko na noma,Sheng
Jina lako nani?,Swahili
When will you arrive?,English
Hiyo ni story ya jaba,Sheng
I miss you,English
Nimekubali,Sheng
Gweno chiemo,Luo
Ogwenyo,Luo
Ninatoka Nairobi,Swahili
Nina furaha,Swahili
"Good morning, how are you?",English
Koro ne en ndalo mag koth,Luo
Wang'eyo kanye?,Luo
Job yangu iko fresh,Sheng
What is your name?,English
Umenizoea?,Sheng
Adhi tich,Luo
Anapika ugali,Swahili
That makes me sad,English
Jua linawaka,Swahili
Please pass me the salt,English
Anaandika barua,Swahili
Good luck,English
Niko poa sana,Sheng
Nina homa,Swahili
An gi chiemo,Luo
Ber ochamo,Luo
Ndalo ler kawuono,Luo
Ninakwenda sokoni,Swahili
Hio gari ni dooo,Sheng
Utaje kangara kesho?,Sheng
The movie was interesting,English
Poa poa,Sheng
The sun is shining brightly,English
Chieng' ler,Luo
Baridi kali leo,Swahili
Where is the nearest bank?,English
Ninasoma kitabu,Swahili
Wuora ni tich,Luo
Twende lunch,Sheng
My name is John,English
Niko hapa town,Sheng
My guy amenirop,Sheng
Wacha ujanja msee,Sheng
Unasema lugha gani?,Swahili
Tunaeza piga mboka,Sheng
Tunanywa chai,Swahili
"I'm doing well, thanks",English
Ananifanya nidobe,Sheng
Utado?,Sheng
Dada yangu anasoma,Swahili
Wacha story za jaba,Sheng
Naelewa,Swahili
Mera ni dala,Luo
Okinyi ber,Luo
Twende tukaone vile itakua,Sheng
Nimechapa kazi leo,Sheng
Idhi kanye?,Luo
I a wanye?,Luo
Bed maber,Luo
Wacha tuchome,Sheng
Freshi kabisa,Sheng
She sings beautifully,English
Wacha tupige story,Sheng
I am taking a shower,English
Wan gi kwe,Luo
Lemna ne Nyasaye,Luo
Nyathi chiemo,Luo
Why are you late?,English
We are having dinner,English
Where are you from?,English
Happy birthday,English
He is reading a book,English
Who is that person?,English
Congratulations,English
Merry Christmas,English
Dhi gi kwe,Luo
There is a strong wind,English
Nina kiu,Swahili
Unanivibe?,Sheng
Hii ni kitu gani?,Sheng
An ka da,Luo
Jina langu ni Juma,Swahili
Sielewi,Swahili
Sasa,Sheng
Koro en sa adi?,Luo
What time is the meeting?,English
What's up?,English
Msee huyo ni dame,Sheng
Mambo vipi?,Sheng
Koyo ng'ich,Luo
Hii ni kitu poa,Sheng
Nina huzuni,Swahili
Tunakwenda kanisani,Swahili
Nataka kupumzika,Swahili
Nina njaa sana,Swahili
Unafanya nini?,Swahili
I aa kanye?,Luo
Leo ni Jumatatu,Swahili
I need to rest,English
Ber novinyo,Luo
Have a nice day,English
Samahani,Swahili
I love you,English
The food is delicious,English
Nyasaye konyi,Luo
Pi oloo,Luo
She is writing a letter,English
Rafiki yangu anakuja,Swahili
Nyasaye ogwedhi,Luo
Let's go shopping kesho,Sheng
They are cooking food,English
Ee,Luo
Kuna upepo,Swahili
Adwa pi,Luo
Adhi chiro,Luo
"Ee, anie",Luo
Niko na mabeshte wangu,Sheng
Habari za asubuhi,Swahili
Habari za jioni,Swahili
We are watching a movie,English
Una umri gani?,Swahili
I feel happy today,English
Ihero?,Luo
Wacha kucheza msee,Sheng
Hii ni serious,Sheng
I am hungry,English
It might rain tomorrow,English
Jamaa yule ni msee,Sheng
He runs very fast,English
Mama yuko nyumbani,Swahili
Good afternoon,English
Umeenda wapi mboka?,Sheng
Hio ndio mboka safi,Sheng
Anaenda shuleni,Swahili
Aheri,Luo
Ring'o otek,Luo
Kesho kutakuwa na jua,Swahili
That movie ilikua poa,Sheng
Poa poa,Swahili
Please speak slowly,English
Nina uchovu,Swahili
Niko na njaa kidogo,Sheng
Unaniexpose msee,Sheng
Tumesota pia,Sheng
Good evening,English
Nimekula chapo na ndengu,Sheng
Safi sana,Sheng
Erokamano,Luo
Magi ni ng'o?,Luo
I am going to school,English
Adhi dala,Luo
How is your day going?,English
Unakula nini?,Swahili
Wang'eyo,Luo
Watoto wanacheka,Swahili
Can you repeat that?,English
Nimekurop,Sheng
Mvua inanyesha,Swahili
Koth chue,Luo
Ber odhiambo,Luo
It is raining outside,English
Kaka yangu anacheza,Swahili
Wuon ot odhi,Luo
Hii ni bei gani?,Swahili
I love reading books,English
Nyinga John,Luo
Mboka imejaa watu,Sheng
Unaenda wapi?,Swahili
Huyo dem ni mrembo,Sheng
Twende tunywe juice,Sheng
Mambo vipi?,Swahili
We will meet next week,English
Hapana,Swahili
Twende mboka kesho,Sheng
Mos mos,Luo
Adhi skul,Luo
Wuok odiochieng' ber,Luo
Asante sana,Swahili
Ananishow tu,Sheng
The weather is nice today,English
Nahitaji msaada,Swahili
Nyithindo gin gi remo,Luo
Ninaitwa Maria,Swahili
Niko down,Sheng
How much does this cost?,English
I am thirsty,English
It's very cold this morning,English
En ng'ama?,Luo
Ooyo,Luo
Could you tell me the time?,English
Unatoka wapi?,Swahili
Wanakwenda mjini,Swahili
Kesho asubuhi,Swahili
Odhiambo ber,Luo
Uko wapi msee?,Sheng
Wanacheza mpira,Swahili
Tutane tuone,Sheng
They are playing football,English
Itimo ang'o?,Luo
Hio ni ngumu sana,Sheng
Nyamera ni skul,Luo
"Ooyo, ok adhi",Luo
"Hello, nice to meet you",English
Sijui,Swahili
She will start her new job,English
Tafadhali njoo hapa,Swahili
Jodongo ni dala,Luo
Narejea tu,Sheng
Ruoth ogwedhi,Luo
In ie?,Luo
Bi ka,Luo
Owadha ni gweng',Luo
In ng'a?,Luo
Nimekuzoea msee,Sheng
Haraka haraka,Swahili
Karibu nyumbani,Swahili
I need some water,English
Nitakuja kesho,Swahili
Pole pole,Swahili
An gi tich matek,Luo
Niko sure kesho nitakuja,Sheng
Nind maber,Luo
Idhi nade?,Luo
Nyingi ng'a?,Luo
Wacha tuende base,Sheng
Baba anafanya kazi,Swahili
This place ni moto,Sheng
Yesu ohera,Luo
Habari za mchana,Swahili
Ndiyo,Swahili
Nimekua nashibe,Sheng
Naskia job yako iko poa,Sheng
Si poa hio,Sheng
See you tomorrow,English
This project is exciting,English
Take care,English
Can you help me with this?,English
Chai omyo,Luo
I need to buy groceries,English
Yamo kudho,Luo
Min nyathi obiro,Luo
I don't understand,English
Koro adhi,Luo
Tutaonana kesho,Swahili
Adhi maber,Luo
She works at the hospital,English
I am going to travel,English
Ninakula chakula,Swahili
I am tired,English
Niko na budget ndogo,Sheng
I will call you later,English
